Name	NB	EWS	OSTEO	RMS
TIMP1	1111.325122	1886.843333	2387.0064	762.38575
COL1A1	1299.818049	1478.496923	7156.5832	1545.24125
SPARC	1585.086585	1451.733077	5499.8932	1779.71275
COL3A1	1136.621951	1392.915128	4093.0572	2309.54425
COL1A2	1079.175366	1282.222564	7324.7592	1463.68125
FN1	549.8980488	1172.701026	1339.8164	709.9285
SPP1	471.1458537	1075.266154	1774.3532	234.57325
PPIB	723.2641463	687.7761538	1630.1596	699.07575
BGN	442.5717073	549.8715385	1976.6616	500.1215
CAPNS1	364.3260976	474.194359	395.5704	327.1655
BSG	352.2163415	470.7697436	601.6424	349.18875
MFAP4	71.63609756	463.3394872	224.862	234.4565
CTSB	389.6207317	427.7392308	435.5836	220.1875
COL6A2	372.1409756	388.1910256	1409.0484	517.50275
COL4A1	524.1836585	367.8758974	325.0308	311.57775
CTSD	621.1146341	356.0848718	657.7592	221.7905
LUM	269.9226829	348.3976923	2116.766	504.258
MMP9	149.5536585	336.5112821	1503.252	70.49475
ITGB1	413.3604878	324.1669231	457.3168	365.11275
DCN	391.6826829	313.9476923	1151.624	773.424
MATN1	0.291463415	0.345897436	0.3808	0.4955
COL4A4	1.283658537	0.324358974	1.484	0.84725
COL28A1	4.97097561	0.313333333	0.6232	0.55125
ITGAD	1.101707317	0.273076923	0.2844	0.146
COL4A6	0.232195122	0.272820513	0.6968	1.1165
ADAMTS18	0.589512195	0.272564103	5.9004	0.324
CMA1	0.644878049	0.262051282	0.8456	1.0875
KLK2	0.143902439	0.223589744	0.362	1.5795
TTR	36.40243902	0.081538462	0.4064	5.0705
COL6A5	0.101219512	0.068205128	0.6736	0.02675
PLG	12.43609756	0.05974359	0.056	2.94925
FGA	222.9717073	0.051794872	0.1608	25.184
MUSK	0.065121951	0.035384615	0.1152	3.01775
DSPP	0.016097561	0.026923077	0.1016	0.02025
CTRB2	0.20902439	0.024615385	0.2496	0.47325
CTRB1	0.243658537	0.024102564	0.1976	0.53675
PRSS1	0.26097561	0.020512821	0.446	0.734
FGB	133.2419512	0.005897436	0.0136	17.8175
BMP10	0.030243902	0.001794872	0.0016	0.555
MMP20	0.033414634	0	1.0668	0.00125
