Name	NB	EWS	OSTEO	RMS
COL1A2	1079.175366	1282.222564	7324.7592	1463.68125
COL1A1	1299.818049	1478.496923	7156.5832	1545.24125
SPARC	1585.086585	1451.733077	5499.8932	1779.71275
COL3A1	1136.621951	1392.915128	4093.0572	2309.54425
TIMP1	1111.325122	1886.843333	2387.0064	762.38575
LUM	269.9226829	348.3976923	2116.766	504.258
BGN	442.5717073	549.8715385	1976.6616	500.1215
SPP1	471.1458537	1075.266154	1774.3532	234.57325
PPIB	723.2641463	687.7761538	1630.1596	699.07575
IBSP	47.19	23.07358974	1624.9096	10.87925
MMP9	149.5536585	336.5112821	1503.252	70.49475
COL6A2	372.1409756	388.1910256	1409.0484	517.50275
COL6A1	298.5497561	300.1215385	1360.5872	412.28325
FN1	549.8980488	1172.701026	1339.8164	709.9285
SERPINH1	225.5521951	305.6548718	1296.0564	417.632
CTSK	102.3207317	126.9774359	1156.5232	114.1345
DCN	391.6826829	313.9476923	1151.624	773.424
MMP14	142.1880488	221.8074359	1136.44	249.6215
COL2A1	2.599268293	3.631794872	1091.328	52.5615
P4HB	319.4192683	310.5292308	953.934	434.58175
BCAN	28.57365854	13.79666667	0.3708	3.131
KLK2	0.143902439	0.223589744	0.362	1.5795
TNR	6.610487805	0.891794872	0.3144	0.1995
ITGAD	1.101707317	0.273076923	0.2844	0.146
FBN3	2.31097561	2.433076923	0.2808	17.18825
MADCAM1	0.387073171	0.749230769	0.2728	0.13825
CTRB2	0.20902439	0.024615385	0.2496	0.47325
NCAN	25.24707317	6.242820513	0.2396	2.5965
TLL2	2.282926829	0.407435897	0.1996	4.79475
CTRB1	0.243658537	0.024102564	0.1976	0.53675
FGG	237.795122	0.708205128	0.19	28.7985
FGA	222.9717073	0.051794872	0.1608	25.184
COL19A1	0.554146341	1.430769231	0.1172	3.4825
MUSK	0.065121951	0.035384615	0.1152	3.01775
DSPP	0.016097561	0.026923077	0.1016	0.02025
PLG	12.43609756	0.05974359	0.056	2.94925
COL20A1	3.595609756	1.045641026	0.0236	1.75
FGB	133.2419512	0.005897436	0.0136	17.8175
CEACAM8	2.592682927	1.544102564	0.008	0.00475
BMP10	0.030243902	0.001794872	0.0016	0.555
