Name	NB	EWS	OSTEO	RMS
COL3A1	1136.621951	1392.915128	4093.0572	2309.54425
SPARC	1585.086585	1451.733077	5499.8932	1779.71275
COL1A1	1299.818049	1478.496923	7156.5832	1545.24125
COL1A2	1079.175366	1282.222564	7324.7592	1463.68125
DCN	391.6826829	313.9476923	1151.624	773.424
TIMP1	1111.325122	1886.843333	2387.0064	762.38575
FN1	549.8980488	1172.701026	1339.8164	709.9285
PPIB	723.2641463	687.7761538	1630.1596	699.07575
COL6A2	372.1409756	388.1910256	1409.0484	517.50275
LUM	269.9226829	348.3976923	2116.766	504.258
BGN	442.5717073	549.8715385	1976.6616	500.1215
P4HB	319.4192683	310.5292308	953.934	434.58175
SERPINH1	225.5521951	305.6548718	1296.0564	417.632
COL6A1	298.5497561	300.1215385	1360.5872	412.28325
COL6A3	159.4280488	224.0564103	682.0784	382.80675
ITGB1	413.3604878	324.1669231	457.3168	365.11275
BSG	352.2163415	470.7697436	601.6424	349.18875
CAPNS1	364.3260976	474.194359	395.5704	327.1655
COL4A1	524.1836585	367.8758974	325.0308	311.57775
A2M	411.9343902	226.9889744	677.1488	287.876
ICAM4	1.697804878	8.731025641	1.3552	0.59275
BMP10	0.030243902	0.001794872	0.0016	0.555
COL28A1	4.97097561	0.313333333	0.6232	0.55125
CTRB1	0.243658537	0.024102564	0.1976	0.53675
MATN1	0.291463415	0.345897436	0.3808	0.4955
CTRB2	0.20902439	0.024615385	0.2496	0.47325
GDF5	0.284878049	0.407948718	0.6104	0.36975
ADAMTS18	0.589512195	0.272564103	5.9004	0.324
COL4A3	0.27902439	0.501794872	1.8236	0.30275
CEACAM6	1.7	14.33230769	10.2216	0.2955
TNR	6.610487805	0.891794872	0.3144	0.1995
ELANE	15.32121951	11.43948718	0.7204	0.18
ITGAD	1.101707317	0.273076923	0.2844	0.146
MADCAM1	0.387073171	0.749230769	0.2728	0.13825
MATN4	0.204634146	0.539230769	54.1784	0.092
MMP8	5.494878049	4.68	0.44	0.0515
COL6A5	0.101219512	0.068205128	0.6736	0.02675
DSPP	0.016097561	0.026923077	0.1016	0.02025
CEACAM8	2.592682927	1.544102564	0.008	0.00475
MMP20	0.033414634	0	1.0668	0.00125
