Name	NB	EWS	OSTEO	RMS
SPARC	1585.086585	1451.733077	5499.8932	1779.71275
COL1A1	1299.818049	1478.496923	7156.5832	1545.24125
COL3A1	1136.621951	1392.915128	4093.0572	2309.54425
TIMP1	1111.325122	1886.843333	2387.0064	762.38575
COL1A2	1079.175366	1282.222564	7324.7592	1463.68125
PPIB	723.2641463	687.7761538	1630.1596	699.07575
CTSD	621.1146341	356.0848718	657.7592	221.7905
FN1	549.8980488	1172.701026	1339.8164	709.9285
COL4A1	524.1836585	367.8758974	325.0308	311.57775
SPP1	471.1458537	1075.266154	1774.3532	234.57325
BGN	442.5717073	549.8715385	1976.6616	500.1215
COL4A2	419.4914634	283.0638462	306.1076	276.40825
ITGB1	413.3604878	324.1669231	457.3168	365.11275
A2M	411.9343902	226.9889744	677.1488	287.876
DCN	391.6826829	313.9476923	1151.624	773.424
CTSB	389.6207317	427.7392308	435.5836	220.1875
TIMP2	385.4543902	163.3130769	557.544	207.69525
COL6A2	372.1409756	388.1910256	1409.0484	517.50275
CAPNS1	364.3260976	474.194359	395.5704	327.1655
BSG	352.2163415	470.7697436	601.6424	349.18875
ADAMTS18	0.589512195	0.272564103	5.9004	0.324
COL19A1	0.554146341	1.430769231	0.1172	3.4825
COL17A1	0.407560976	1.607948718	0.4516	6.8895
MADCAM1	0.387073171	0.749230769	0.2728	0.13825
ITGB6	0.321463415	3.076153846	5.9196	4.9115
MATN1	0.291463415	0.345897436	0.3808	0.4955
GDF5	0.284878049	0.407948718	0.6104	0.36975
COL4A3	0.27902439	0.501794872	1.8236	0.30275
PRSS1	0.26097561	0.020512821	0.446	0.734
CTRB1	0.243658537	0.024102564	0.1976	0.53675
COL4A6	0.232195122	0.272820513	0.6968	1.1165
CTRB2	0.20902439	0.024615385	0.2496	0.47325
MATN4	0.204634146	0.539230769	54.1784	0.092
KLK2	0.143902439	0.223589744	0.362	1.5795
COL6A5	0.101219512	0.068205128	0.6736	0.02675
MUSK	0.065121951	0.035384615	0.1152	3.01775
MMP20	0.033414634	0	1.0668	0.00125
BMP10	0.030243902	0.001794872	0.0016	0.555
DSPP	0.016097561	0.026923077	0.1016	0.02025
KLK7	0.014878049	0.370769231	0.3712	6.6165
MFAP4	71.63609756	463.3394872	224.862	234.4565
LUM	269.9226829	348.3976923	2116.766	504.258
MMP9	149.5536585	336.5112821	1503.252	70.49475
COL4A4	1.283658537	0.324358974	1.484	0.84725
COL28A1	4.97097561	0.313333333	0.6232	0.55125
ITGAD	1.101707317	0.273076923	0.2844	0.146
CMA1	0.644878049	0.262051282	0.8456	1.0875
TTR	36.40243902	0.081538462	0.4064	5.0705
PLG	12.43609756	0.05974359	0.056	2.94925
FGA	222.9717073	0.051794872	0.1608	25.184
FGB	133.2419512	0.005897436	0.0136	17.8175
P4HB	319.4192683	310.5292308	953.934	434.58175
SERPINH1	225.5521951	305.6548718	1296.0564	417.632
COL6A1	298.5497561	300.1215385	1360.5872	412.28325
COL6A3	159.4280488	224.0564103	682.0784	382.80675
ICAM4	1.697804878	8.731025641	1.3552	0.59275
CEACAM6	1.7	14.33230769	10.2216	0.2955
TNR	6.610487805	0.891794872	0.3144	0.1995
ELANE	15.32121951	11.43948718	0.7204	0.18
MMP8	5.494878049	4.68	0.44	0.0515
CEACAM8	2.592682927	1.544102564	0.008	0.00475
IBSP	47.19	23.07358974	1624.9096	10.87925
CTSK	102.3207317	126.9774359	1156.5232	114.1345
MMP14	142.1880488	221.8074359	1136.44	249.6215
COL2A1	2.599268293	3.631794872	1091.328	52.5615
BCAN	28.57365854	13.79666667	0.3708	3.131
FBN3	2.31097561	2.433076923	0.2808	17.18825
NCAN	25.24707317	6.242820513	0.2396	2.5965
TLL2	2.282926829	0.407435897	0.1996	4.79475
FGG	237.795122	0.708205128	0.19	28.7985
COL20A1	3.595609756	1.045641026	0.0236	1.75
