P001102	P001301	P001302	P001602	P003601	P001405-277029	P004801-277602	P001705-280141	P004604-284987	P006201-287071	P005102-290188	P003007-293109	P008104-316065	P003405-314812	P003007-319189	P008704-322509	P005207-325372	P009901-326428	P010901-327451	P013201-335054	P007606-334286	P011602-344079	RA-002-LMU-30226	RA-024-AJA-31582	RA-028-GKH-167757	RA-030-MDU-168602	RA-031-SBA-169491	RA-056-LHA-241252	WE-008-DSI-236863	P000302	P000305-251503	P000404	P000504	P000604	P000804	P001002	P001304	P001701	P001802	P003101	P001404	P002506	P000605	P001904-268846	P002404-271735	P002802-270846	P003204-276307	P003504-276910	P003904-279449	P004104-280143	P004204-280660	P004206-282906	P005901-283677	P002607-287123	P005302-289217	P005206-294365	P007401-297206	P006302-298472	P006104-300166	P002905-300886	P003005-301334	P007801-302111	P006304-303189	P002503-312569	P007702-314952	P009501-318828	P008402-319950	P008802-324958	P009402-327673	P011601-330627	P012101-331288	P006307-333730	P010304-337314	P009401-338576	P010902-340880	P011102-341752	P014701-342615	P011702-344883	P015701-347055	P004905-347989	P016101-348449	P012004-350716	RA-010-AWE-30588	RA-032-ZDI-169765	RA-033-MMU-172592	RA-037-CDI-175440	RA-038-AVA-175631	RA-044-FWC-235152	RA-048-LAJ-237803	RA-052-SSM-239954	WE-002-CGR-172776	WE-011-DSU-244973	P000101	P000102	P000208	P000307	P000606	P000902	P001401	P001502	P002306	P004401-270614	P004301-270831	P002904-273913	P003302-274819	P005401-277060	P003704-277451	P004006-282222	P001805-283771	P004406-286146	P004606-287208	P006501-288992	P005402-289261	P002205-292088	P005306-293108	P006102-296502	P007601-299312	P006904-307596	P002403-311178	P008501-310672	P002108-324549	P008902-326246	P011001-328135	P011101-328978	P012501-331969	P010602-338650	P011004-339996	P003703-341070	P008606-341028	P008806-342154	P012102-349178	P012202-349335	avg_exp
SPP1	292.09	327.75	892.1	3290.37	1336.5	791.73	3546.61	1992.68	4865.08	1346.24	800.21	6.99	919.94	698.41	546.62	353.27	3917.62	294.45	1118.7	1366.75	439.51	1807.14	220.44	2336.35	357.29	3298.58	6094.27	4922.15	863.32	3710.87	4158.82	4.34	1514.22	1441.42	681.65	2082.51	2281.45	7388.33	4529.5	22599.2	8798.3	7523.5	1015.29	640.04	178.13	426.59	775.78	1307.99	328.54	2719.8	1279.56	6250.17	2400.62	4276.97	297.37	962.82	2498.75	381.63	634.1	288.38	6707.29	818.38	748.14	117.72	224.52	12849.15	10127.26	404.57	2370.36	5324.05	383.17	431.63	5329.91	1632.44	1095.89	7099.02	474.94	179.65	446.13	237.38	293.66	905.35	3680.84	977.08	5922.8	2985.01	950.21	2299.81	368.21	4905.38	6087.52	8136.99	699.18	573.2	2979.53	9016.01	353.33	3323.14	890.41	6212.69	653.64	1670.61	1669.24	7536.77	7201.53	12507.1	1486.82	1751.5	2509.03	7247.76	2747.88	252.98	8835.39	760.74	989.57	2074.07	2713.07	2926.22	9463.09	2132.58	611.68	876.7	338.94	1256.56	3844.73	6850.36	4953.98	1248.27	3299.72	1397.92	1177.17	1372.41	2767.72560606061
SPARC	1118.1	1684.73	4044.37	2615.94	5184.46	1596.71	13873.86	1884.57	4734.09	2864.1	5841.39	6754.82	7055.2	2864.98	765.87	3459.66	4053.74	779.54	4226.09	2839.82	3165.18	3597.09	1087.32	971.84	509.46	7199.47	3102	2671.09	1994.67	1127.73	3276.22	138.31	1060.37	838.08	1209.69	1577.64	1096.96	1551.55	3885.6	863.41	2341.17	1499.37	1631.79	3017.34	1799.16	1012.14	2152.59	4344.9	2274.06	2255.87	2769.72	1685.03	1606	3916.33	3302.73	289.25	2138.17	482.74	3152.71	8271.56	8725.7	4262.03	1233.51	2468.63	1264.91	493.56	2585.21	1559.1	3504.96	1035.62	1386.09	1391.16	1142.39	505.13	498.31	1991.4	3344.97	710.24	1585.69	2309.96	2240.06	1161.79	1952.3	1415.95	1074.06	4814.29	3635.07	1394.01	1876.45	2169.2	2060.68	2444.65	1569.54	3909.35	1030.44	1996.24	1249.57	2227.16	1706.96	1452.45	1906.31	1119.96	1592.09	1497.18	1124.8	2982.97	2071.84	1660.64	2490.1	1113.42	2317.27	547.55	1078.33	3627.87	584.33	1120.46	545.31	810.79	4512.41	1394.94	2552.27	2306.56	232.41	3483.06	2906.8	1360.34	1678.74	1267.48	1571.87	948.34	1127.78	4348.26	2351.285
TIMP1	1055.69	1030.92	2277.08	3039.22	38.73	445.82	1085.39	389.04	2018.2	1314.77	1642.83	962.32	4577.14	559.22	239.39	748.44	1669.4	100.28	908.74	638.67	2188.81	259.74	509.5	526.78	350.62	5582.03	4373.8	2096.07	114.32	1815.26	2355.06	32.24	155.73	773.14	335.89	476.4	635.4	1773.97	3103.35	1016.08	2468.16	2119.06	731.74	79.89	337.99	343.02	1113.24	1491	123.2	4106.99	665.79	759.33	789.46	2595.09	1950.44	41.05	8880.12	120.02	820.07	357.49	11189.42	179.66	624.53	492.83	254.34	76327.54	3539.73	1173.75	2718.45	301.85	118.62	852.13	7279.72	184.22	327.63	2501.92	866.73	286.7	664.09	167.42	172	691.03	297.48	660.86	1595.3	4597.15	54.76	193.9	435.65	570.85	964.97	599.46	103.38	43.29	407.8	1106.63	273.11	665.69	62.87	24814.09	66.25	455.85	7682.01	192.94	275.25	713.9	32.78	60.09	115.75	428.41	73.58	195.63	732.97	91.67	152.46	106.71	92.79	577.94	1939.22	169.4	246.8	298.07	100.83	827.93	331.53	314.89	561.11	141.4	248.13	34.23	164.18	168.68	1886.84515151515
BCAN	1251.95	1593.47	128.45	76.96	982.55	1066.22	77.34	864.32	61.66	317.03	403.3	0.41	6.16	2031.78	1106.09	990.29	617.19	453.85	1300.27	565	143.84	510.07	11.07	439.45	1913.98	1274.06	11.97	883.9	859.62	496.86	17.26	292.62	1501.03	343.88	949.66	574.57	155.63	140.41	0.67	160.04	405.3	441.12	683.77	1520.41	240.37	779.7	1119.64	589.4	2088.58	555.01	856.27	579.68	87.32	432.57	174.3	1797.25	64.76	898.01	603.68	980.44	2.82	1384.37	1141.98	531.34	1657.65	1.33	11.17	1428.95	1419.68	957.35	856.52	55	73.7	946.74	727.76	235.33	19.97	478.24	1145.91	1098.22	483.65	860.54	2166.34	733.18	475.05	56.72	2448.25	2893.29	2168.33	854.62	575.67	707.17	855.8	2018.72	613.68	289.65	1643.57	1261.68	1917.5	14.11	2654.99	1357.43	3269.71	437.65	1343.48	223.78	350.43	1525.21	1221.27	667.17	1091.92	1311.64	357.76	681.29	3561.75	890.3	718.32	408.06	431.17	1084.61	2045.77	2866.72	643.04	615.95	909.44	2418.02	541.78	1512.44	1317.48	2659.51	1071.28	779.9	891.312727272727
PPIB	788.23	1173.62	996.71	789.47	579.23	682.37	406.69	445.78	1102.82	983.81	964.17	994.33	1929.3	712.45	647.92	1138.02	1301.91	355.28	750.87	925.39	998.47	429.31	1081.39	637.64	1059.52	1981.43	1373.62	1627.39	454.48	1161.03	1214.03	439.69	561.76	709.92	644.7	479.14	935.07	933.54	1142.13	735.04	825.24	1056.62	548.18	635.67	640.18	1026.82	1119.72	1146.06	533.27	1284.13	1024.62	509.53	619.23	772.37	1305.13	613.34	1165.21	342.53	932.14	845.9	1130.71	448.65	707.47	984.78	833.51	1399.67	1174.58	745.24	1634.32	884.51	526.14	1139.29	1801.58	319.66	2803.09	627.14	1535.72	997.82	825.55	994.84	923.35	666.54	407.22	844.54	1117.67	1743.69	544.99	567.19	880.41	850.11	931.44	1005.13	592.5	514.9	785.06	971.64	780.59	923.79	477.19	1045.94	627.67	1207.3	496.91	455.98	793.33	654.02	416.54	558.75	367.91	1057.62	360.15	591.93	590.52	705.49	671.57	424.92	642.54	788.81	1014.39	566.88	803.3	611.09	278.55	1018.88	486.68	922.09	805.76	801.47	601.48	680.22	522.7	609.9	851.795984848485
BSG	601.67	873.83	476.59	511.93	521.23	379.22	768.73	396.2	493.31	986.32	492.38	438.45	1055.86	509.18	778.73	418.01	331.42	720.57	621.37	334.38	358.24	296.48	176.32	444.26	458.46	776.84	421.94	864.51	550.91	649.97	1155.81	302.16	593.35	361.66	201.52	594.01	439.89	750.66	468.57	406.67	480.13	601.15	490.11	263.4	751.23	870.09	651.39	549.08	593.95	571.01	572.39	634.56	511.31	706.53	653.19	805.1	750.3	381.98	415.6	263.54	772.35	453.99	744.62	536.37	663.8	1272.44	762.88	400.22	766.53	594.37	413.18	669.44	885.51	471.84	639.46	327.85	749.46	467.39	524.03	620.95	409.37	754.35	701.62	191.7	487.61	1072.75	508.3	459.07	677.09	1262.04	371.68	362.49	283.61	617.83	847.2	407.35	468.36	522.88	519.71	560.68	520.36	541.13	1134.63	362.61	669.48	783.41	389.61	508.1	520.65	566.8	511.22	741.23	1064.33	669.19	521.43	676.55	483.29	544.59	522.32	428.5	483.56	738.32	451.77	1140.42	455.78	713.67	429.09	621.31	547.31	501.23	396.61	559.43	582.711742424242
A2M	1685.75	383.27	893.49	208.74	417.69	776.08	522.55	626.24	773.39	245.82	1415.15	1267.82	170.72	801.01	60.62	559.4	882.73	450.18	1205.51	694.21	4827.45	648.89	174.41	1652.97	173.84	389.4	1409.77	781.56	210.93	305.81	899.51	28.52	187.29	370.11	253.3	350.81	540.98	311.01	130.33	503.35	419.35	1121.15	256.64	147.64	241.26	155.93	540.13	1279.86	142.86	730.37	572.21	522.16	863.87	1549.66	3207.32	376.4	917.55	443.69	416.12	157.24	858.59	273.93	280.18	448.07	325.39	230.75	495.08	466.51	455.1	732.22	232.37	1233	1609.56	184.43	190.41	688.56	1270.2	155.38	166.67	72.82	813.86	424.73	536.33	190.97	248.39	1017.75	292.17	411.48	341.49	544.23	865.88	708.2	414.05	296.82	355.8	725.46	167.97	720.3	222.37	955.59	207.48	213.29	555.58	520.75	487.31	515.4	277.54	681.23	458.24	787.99	290.01	177.91	575.34	196.76	118.17	337.45	450.34	173.1	696.74	895.47	152.64	413.46	77.84	1041.32	784.7	233.08	237.85	124.68	355.57	219.67	366.49	213.68	573.57696969697
CTSB	238.9	255.56	549.99	507.59	308.99	388.98	820.24	236.29	1092.05	706.57	577.52	208.39	959.56	436.4	155.73	599.54	1014.61	417.15	651.06	479.75	323.24	417.76	158.88	271.69	154.98	570.75	2122.26	831.9	212.17	242.18	981.22	37.6	266.23	180.81	162.65	254.47	157.92	386.08	1862.56	417.3	1191.65	527.33	253.23	198.69	274.5	165.47	258.82	351.77	168.47	597.96	353.3	342.7	594.53	558.85	683.23	266.88	635.14	123.88	458.12	223.8	1841.36	227.95	153.11	230.42	202.93	2494.43	1176.69	229.96	545.21	483.3	197.26	365.11	1098.95	158.63	83.64	908.96	898.75	94.97	188.42	92.15	432.67	424.12	388.93	232.07	396.72	642.38	215.25	232.02	202.73	568.76	456.44	383.19	219.35	206.91	373.72	721.64	108.56	313.49	173.1	871.57	158.86	175.97	749.61	477.87	378.89	826.93	271.32	339.01	265.97	586.36	254.4	201.35	414.18	240.92	89.35	223.09	235.1	476.67	1055.34	348.2	142.66	220.47	79.29	483.98	314.04	327.32	228.19	142.46	262.02	194.11	284.04	342.21	445.998787878788
FN1	79.91	979.48	897.67	195.54	40.3	167.06	80.33	412.51	149.55	42.3	1856.26	708.51	143.06	176.93	45.08	57.03	26.01	171.56	556.26	103.31	1228.7	53.55	622.29	195.11	308.09	411.5	895.81	124.45	52.98	278.72	271.63	79.04	82.34	59.66	71.74	221.56	284.19	237.19	48.02	153.01	148.01	403.97	277.4	38.43	267.64	153.28	516.53	3212.28	76.71	100.41	125.06	629.73	132.66	697.52	547.81	97.51	2236.76	92.16	326.04	46.61	692.25	73.48	741.61	441.43	737.37	8143.41	455.34	717.18	165.32	168.98	136.51	43.11	86.73	221.24	114.49	391.31	386.7	235.5	264.09	62.52	1169.61	107.73	133.5	81.37	484.9	3131.76	22.61	123.84	75.56	308.89	358.04	593.37	36.18	45.69	51.68	413.22	14.77	1104.14	31.03	1709.53	36.18	421.18	413.84	56.35	351.17	1039.02	26.76	65.4	88.73	91.45	25.79	296.81	160.95	23.9	224.05	47.5	31.95	345.02	115.99	367.27	43.27	757.31	159.87	1048.73	1096.75	440.09	109	79.09	477.68	86.14	55.2	45.04	421.198712121212
CAPNS1	409.09	258.72	457.36	452.55	277.94	355.14	341.69	337.53	397.64	528.82	554.83	580.37	717.52	419.94	502.69	571.49	699.61	468.18	624.08	537.27	619.09	498.54	240.82	336.1	319.61	192.37	482.72	483.43	624.7	355.18	477.02	139	426.28	438.33	214.09	382.16	360.99	471.12	634.97	444.42	469.42	383.93	278.2	266.72	420.42	470.65	345.35	536.27	212.59	403.67	387.69	351.54	300.36	585.69	594.32	305.87	421.98	307.22	389.21	474.63	312.32	284.42	267.78	482.02	618.17	656.54	565	614.72	530.61	739.22	370.24	591.6	676.3	226.14	270.75	409.47	512.57	281.7	421.28	346.6	441.24	569.14	519.95	230.24	500.85	537.06	241.78	439.24	353.53	335.75	456.43	352.53	178.29	295.82	471.72	389.58	282.46	416.52	265.9	566.69	258.65	384.32	370.1	380.1	393.01	277.03	344.62	313	334.36	488.39	343.13	271.16	455.1	474.74	193.1	320.23	365.6	270.87	668.41	347.43	284.86	427.9	283.96	543.56	335.3	344.61	479	331.35	275.98	275.67	342.16	441.78	410.460454545455
