gene_id	transcript_id-s-	RA-002-LMU-30226	RA-006-STA-28528	RA-008-IBI-30437	RA-010-AWE-30588	RA-021-HRE-34122	RA-022-DWI-31482	RA-024-AJA-31582	RA-025-IDO-164590	RA-028-GKH-167757	RA-030-MDU-168602	RA-031-SBA-169491	RA-032-ZDI-169765	RA-033-MMU-172592	RA-034-DHS-174216	RA-037-CDI-175440	RA-038-AVA-175631	RA-043-FMA-178339	RA-044-FWC-235152	RA-048-LAJ-237803	RA-052-SSM-239954	RA-056-LHA-241252	WE-002-CGR-172776	WE-008-DSI-236863	WE-011-DSU-244973	P000101	P000102	P000106	P000202	P000208	P000302	P000305-251503	P000307	P000404	P000504	P000604	P000606	P000608	P000703	P000706	P000801	P000804	P000902	P000903	P000904	P001002	P001007	P001102	P001202	P001301	P001302	P001304	P001307	P001401	P001502	P001602	P001701	P001802	P002306	P003101	P001404	P002506	P001003	P000605	P002302	P003601	P001904-268846	P004001-268467	P004001-268560	P004201-269359	P004401-270614	P001105-271530	P002404-271735	P002802-270846	P004301-270831	P001205-274088	P002904-273913	P003202-273784	P003302-274819	P003502-275267	P003106-274807	P003204-276307	P003404-276310	P003504-276910	P001405-277029	P003902-277744	P005401-277060	P003704-277451	P004402-279901	P001505-277736	P003904-279449	P004801-277602	P004104-280143	P001705-280141	P004204-280660	P004006-282222	P004206-282906	P001805-283771	P005801-282911	P004604-284987	P004802-284986	P005901-283677	P001605-285608	P004406-286146	P004704-285606	P006201-287071	P004606-287208	P000908-288144	P006501-288992	P002607-287123	P005302-289217	P005402-289261	P005502-290329	P005102-290188	P006701-291577	P005602-290690	P002205-292088	P005802-292101	P002305-293498	P002405-293496	P003007-293109	P005306-293108	P005702-294414	P005206-294365	P005406-294364	P002505-294463	P002605-295086	P005504-294490	P006102-296502	P007401-297206	P002805-297243	P007501-297323	P006004-299119	P006302-298472	P003607-299930	P006104-300166	P007601-299312	P002905-300886	P003005-301334	P007801-302111	P006304-303189	P007004-307759	P006904-307596	P002103-307720	P008401-309723	P007302-310096	P007204-310190	P002403-311178	P008501-310672	P002503-312569	P007604-313961	P003305-314038	P007702-314952	P002603-315747	P006306-315860	P007904-315725	P008104-316065	P003405-314812	P009501-318828	P008404-319259	P003605-320506	P008402-319950	P003007-319189	P008704-322509	P002008-324543	P003805-323909	P005207-325372	P008802-324958	P002108-324549	P008902-326246	P009901-326428	P010801-327086	P009402-327673	P010901-327451	P011001-328135	P011101-328978	P003403-329580	P009404-330118	P011301-329701	P011601-330627	P007204-331593	P012101-331288	P012301-331392	P012501-331969	P006101-333672	P002508-334809	P006307-333730	P013001-334940	P013201-335054	P007606-334286	P003607-334218	P010304-337314	P010502-338482	P010602-338650	P009401-338576	P010604-339036	P010702-339760	P011004-339996	P010902-340880	P003703-341070	P008606-341028	P003208-342093	P008806-342154	P011102-341752	P014701-342615	P003308-342968	P014401-341709	P011502-343972	P011602-344079	P004705-345028	P008901-343035	P011702-344883	P009306-344558	P015701-347055	P004905-347989	P016101-348449	P007507-347991	P012102-349178	P015901-347508	P012004-350716	P012202-349335
A2M	NM_000014	174.41	115.54	145	536.33	82.02	110.11	1652.97	30.49	173.84	389.4	1409.77	190.97	248.39	321.28	1017.75	292.17	91.97	411.48	341.49	544.23	781.56	865.88	210.93	708.2	414.05	296.82	157.99	300.77	355.8	305.81	899.51	725.46	28.52	187.29	370.11	167.97	79.81	534.09	259.3	102.74	253.3	720.3	48.12	102.94	350.81	44.55	1685.75	246.32	383.27	893.49	540.98	449.17	222.37	955.59	208.74	311.01	130.33	207.48	503.35	419.35	1121.15	111.06	256.64	34.4	417.69	147.64	303.75	234.7	249.63	213.29	204.15	241.26	155.93	555.58	1062.34	520.75	108.1	487.31	180.37	578.43	540.13	202.66	1279.86	776.08	12.75	515.4	277.54	866.57	735.35	142.86	522.55	730.37	626.24	572.21	681.23	522.16	458.24	221.5	773.39	29.59	863.87	158.89	787.99	619.41	245.82	290.01	289.99	177.91	1549.66	3207.32	575.34	596.62	1415.15	2.6	265.13	196.76	227.12	263.79	359.86	1267.82	118.17	165.75	376.4	941.63	97.07	79.27	236.17	337.45	917.55	109.69	54.78	175.88	443.69	111.21	416.12	450.34	157.24	858.59	273.93	280.18	561.53	173.1	66.57	36.18	185.9	235.37	696.74	895.47	448.07	325.3	92.61	325.39	158.66	431.62	61.22	170.72	801.01	230.75	156.64	99.12	495.08	60.62	559.4	205.32	122.24	882.73	466.51	152.64	413.46	450.18	18.91	455.1	1205.51	77.84	1041.32	1021.56	227.51	33.28	732.22	177.12	232.37	312.58	784.7	249.92	367.43	1233	95.57	694.21	4827.45	107.83	1609.56	52.24	233.08	184.43	66.58	511.26	237.85	190.41	124.68	355.57	83.2	219.67	688.56	1270.2	219.07	137.99	177.13	648.89	653.65	270.47	155.38	197.58	166.67	72.82	813.86	242.72	366.49	70.23	424.73	213.68
ACAN	NM_001135,NM_013227	4.28	1.28	0.11	15.02	0.12	0.08	95.59	0.4	4.12	0.49	0.66	7.17	23.72	1.13	1.06	49.74	0.45	66.55	72.86	28.54	4.73	5.03	0.21	32.59	227.31	134.79	0.11	2.98	4.87	9.69	10.07	16.27	0.01	0.25	0	15.69	0.67	4.55	0.63	1.16	21.8	66.56	0.21	0.49	12.7	0.11	63.48	0.07	9.31	3.23	0.1	213.33	6.64	3.08	1.71	0.42	0.1	61.57	0.68	0.25	8.48	0.02	3.78	1.14	2.2	39.54	9.47	3.51	0.4	17.11	0.56	2.35	0.36	2.07	49.19	0.69	0.2	27.61	0.06	0.35	48.59	1.08	50.25	3.48	0.51	16.7	4.27	7.54	1.57	0.1	0.35	6.49	5.73	0.82	21.03	90.57	115.67	0.76	1.53	0.11	0.02	0.07	61.5	12.45	0.32	1.18	2.07	5.57	5.79	1.29	2.32	0.75	45.68	0.03	0.91	2.67	0.23	2.16	0.91	37.45	32.36	0.78	0.58	1.16	1.02	1.23	1.26	71.45	3.57	3.21	0.66	4.72	0.7	0.4	17	39.71	0.41	6.48	3.18	11.38	7.03	31.63	0.14	0.14	0.14	84.47	0.04	23.14	1.05	5.22	1.83	22.13	0.48	1.09	0.28	0.55	28.87	0.02	2.08	1.4	0.93	0.48	23.98	0.1	0.2	12.51	2.6	36.98	244.04	5.7	0	12.55	10.3	10.58	0.3	1.92	0.23	3.71	3.3	80.3	1.58	2.13	27.86	1.14	4.85	0	3.21	13.48	67.9	0.07	0.68	0.88	144.87	86.3	1.04	1.09	1.91	6.44	44.68	75.76	0.11	23	6.19	1.36	0.46	0.38	3.52	1.9	3.39	2.37	0	1.86	18.83	0.13	4.64	0.04	13.29	0.8	2.82	9.92
ACTN1	NM_001102,NM_001130004,NM_001130005	80.01	158.67	33.9	101.05	20.37	70.89	276.52	75.34	21.86	55.33	145.41	11.5	105.97	81.32	163.14	31.3	24.97	41.67	25.66	93.43	177.17	109.92	29.65	78.34	28.7	16.55	206.84	93.08	28.85	46.72	111.08	139.16	2.31	21.61	66.71	25.92	14.26	78.03	42.43	35.74	38.47	144.31	36.46	58.52	22.98	15.78	112.15	164.97	53.33	110.53	198.45	300.03	27.06	190.37	34.75	54.95	80.68	13.32	111.19	87.35	82.15	27.11	28.43	46.42	20.52	6.67	71.11	57.67	48.99	30.55	15.94	68.75	79.46	62.75	125.37	102.58	48.77	56.66	69	78.55	61.68	70.58	142.68	56.15	23.95	188.48	10.43	108.27	27.49	25.75	30.66	36.11	27.08	60.54	11.2	75.42	129.08	32.25	80.96	21.48	257.84	29.71	66.63	64.09	64.98	11.84	64.1	42.04	153.88	122.9	48.2	54.27	155.95	17.76	75.01	11.39	18.56	405.33	53.79	144.81	27.34	48.52	26.1	116.27	73.51	58.18	31.32	9.56	156.01	23.79	36.11	83.48	12.51	67.58	38.11	8.66	29.03	119.36	8.18	31.77	116.7	53.61	48.15	27.68	37.98	69.65	73.29	50.14	62.7	117.97	67.52	82.4	34.54	165.22	12.01	127.62	52.96	212.02	256.22	45.83	77.39	16.06	55.62	84.03	41.18	208.45	42.57	18.39	44.1	42.83	15.07	84.15	101.52	28.48	57.26	52.45	67.27	33.83	56.27	81.21	38.66	124.36	50.1	81.67	47.41	153.85	30.69	111.1	86.81	31.5	65.02	39.78	164.23	80.23	107.59	36.76	40.51	14.55	29.17	38.31	53.41	12.72	142.79	246.86	47.15	18.72	93.88	22.05	200.39	32.73	80.18	157.06	21.3	6.6	196.4	14	20.94	59.67	51.98	26.65
ADAM10	NM_001110	35.03	9.71	24.09	38.66	29.02	20.89	68.92	11.71	19.52	27.48	70.36	9.07	67.81	131.65	36.88	31.04	32.53	53.23	24.63	22.17	56.87	16.78	54.38	54.53	27.5	35.38	42.9	28.34	39.61	48.4	44.39	33	22.86	30.78	23.4	19.61	113.81	34.95	37.67	19.18	24.88	52.21	34.64	36.5	37.83	52.95	72.35	48.7	56.17	36.98	77.48	27.09	35.7	18.51	58.25	71.33	56.31	27.45	80.78	20.5	39.96	46.54	28.89	31.53	38.64	26.19	39.17	67.03	41.54	40.16	17.44	37.2	33.95	19.79	25.1	39.57	19.53	37.05	60.17	32.07	35.24	31.23	109.17	84	68.6	55.94	28	42.8	24.97	46	33.77	43.63	30.77	35.81	33.89	35.4	26.93	44.94	63.13	53.35	40.57	46.59	79.34	28.27	18.7	18.15	33.02	19.36	28.68	115.33	57.35	42.25	55.46	9.73	34.77	19.97	20.49	10.96	38.76	18.07	19.76	25.76	39.53	19.37	24.09	20.7	18.25	30.11	31.31	13.67	36.27	21.38	21.8	48.71	67.66	48.32	22.87	54.4	30.47	16.43	26.8	49.91	27.74	47.13	25.87	26.27	66.09	36.41	40.71	17.18	44.4	61.83	33.3	19.39	20.64	18.49	37.96	46.46	13.95	26.07	39.47	15.9	42.72	71.06	31.05	53.61	65.06	28.98	61.57	32.36	10.02	41.58	55.48	3.06	37.15	48.67	21.74	4.68	77.91	47.74	51.89	9.82	62.72	45.39	22.2	43.95	21.96	67.66	84.73	45.22	45.54	97.52	54.71	37.95	37.6	93.38	55.24	32.64	37.17	35.1	54.84	45.56	46.16	97.45	39.56	107.03	44.01	36.13	36.8	70.49	50.09	52.15	77.58	39.14	47.08	47.67	48.26	54.97	51.43	27.25
ADAM15	NM_001261464,NM_001261465,NM_001261466,NM_003815,NM_207191,NM_207194,NM_207195,NM_207196,NM_207197,NR_048577,NR_048578,NR_048579	59.02	39.92	15.73	60.77	27.97	26.14	28.72	8.18	32.91	37.07	58.05	8.96	27.46	37.16	31.05	47.89	11.4	45.37	30.66	35.83	56.33	25.45	36.9	47.54	40.76	39.39	92.63	28.12	17.62	36.73	21.11	33.07	27.44	60.71	24.21	23.15	19.22	89.09	24.57	18.13	37.21	40.07	2.81	30.23	53.62	17.14	63.07	46.06	73.66	54.42	13.8	99.03	31.5	16.83	27.49	27.01	16.26	62.77	31.24	39.59	41.84	25.58	30.44	50.31	42.27	24.96	22.5	18.19	26.98	34.58	205.38	52.16	39.27	37.99	50.96	58.5	17.27	41.55	43.25	48.54	27.94	37.79	49.27	43.24	18.68	35.85	28.39	41.15	35.3	44.51	27.6	41.98	26.92	37.03	23.53	47.25	40.39	16.86	28.96	22.42	40.18	12.56	27.68	42.88	29.12	30.18	174.39	58.39	75.06	50.85	39.09	34.38	77.98	16.84	44.77	26.87	47.17	45.86	24.26	188.76	51.37	19.01	45.95	78.67	85.4	73.68	18.94	55.9	61.94	21.14	18.15	56.71	24.4	71.21	30.59	24.26	26.69	36.66	39.02	41.6	36	45.53	112.62	29.11	56.68	157.22	46.26	57.98	39.32	54.23	56.12	90.72	39.2	76.44	25.18	51.69	52.17	44.38	74.77	62	37.32	38.21	31.42	36.81	45.6	34.44	30.31	53.53	44.69	27.48	12.42	28.08	66.37	26.72	43.99	62.53	57.45	27.72	31.13	137.75	29.71	31.91	31.37	66.48	50.46	27.46	32.51	36.3	39.26	41.69	67.71	25.18	52.48	48.41	22.19	15.52	32.63	19.95	37.48	24.51	27.73	27.72	52.81	29.76	28.15	46.71	12.7	14.8	42.75	41.06	46.71	159.18	36.68	24.27	30.15	19.7	32.56	18.68	26.11	35.02
ADAM17	NM_003183	31.81	21.61	25.09	43.15	21.48	17.61	32.89	10.75	21.09	43.7	31.35	3.48	25.5	41.52	24.97	26.71	15.52	32.22	13.8	15.76	67.86	18.26	23.51	37.8	32.47	17.44	24.59	18.93	15.7	24.96	20.4	19.48	18.74	15.22	14.4	11.46	21.43	15.62	36.24	12.48	32.42	42.71	9.26	11.51	29.54	35.67	33.29	27.79	24.51	20.98	42.62	12.34	35.5	13.24	30.63	26.66	6.91	26.47	59.17	16.17	27.61	32.05	13.56	20.22	5.65	22.85	35.47	61.46	19.54	33.5	55.41	35.61	27.7	15.06	26.97	18.31	29.68	36.97	27.44	44.35	11.91	24.99	44.89	36.89	38.81	20.18	8.31	11.47	14.24	42.08	20.29	19.17	14.13	21.86	17.39	32.43	32.56	27.12	27.15	43.6	30.25	33.71	28.8	14.5	9.99	14.98	27.47	53.24	38.25	73.85	36.54	30.89	33.79	6.78	47.87	6	12.97	20.37	10.12	14.64	27.16	15.82	24.02	25.04	29.36	20.88	10.51	11.65	27.15	16.54	23.05	15.54	10.94	42.1	29.99	29.81	19.33	28.59	33.45	26.48	22.14	39.11	22.58	40.5	28.94	40.73	27.1	25.18	43.6	22.86	34.29	51.48	12.02	25.41	6.69	19.44	21.68	33.55	27.85	29.85	30.38	11.71	18.17	17.09	58.28	25.98	37.14	40.19	43.84	18.89	1.83	26.89	30.49	42	20.24	23.85	44.64	13.03	76	53.75	31.47	21.22	33.5	56.1	14.7	12.1	15.28	27.59	35.49	48.28	34.75	65.7	37.8	27.01	11.51	22.47	27	23.11	26.38	22.56	21.66	26.47	20.81	51.1	20.27	20.66	33.8	10.04	28.03	24.27	57.99	28.74	36.05	13.71	17.39	21.1	23.29	34.02	16.14	16.19
ADAM8	NM_001109,NM_001164489,NM_001164490	0.55	4.15	2.04	1.29	0.52	3.95	4.61	3.61	2.39	0.73	7.87	1.36	1.55	1.98	7.04	0.91	0.54	0.71	1.25	11.06	1.48	9.52	0.98	2.52	3.35	1.3	1.65	0.52	0.59	1.5	13.04	1.65	1.21	0.59	0.53	0.76	3.88	3.24	1.32	1.16	1.53	2	0.66	3.86	3.49	1.76	1.18	3.49	0.66	2.73	1.35	2.84	0.46	7.23	2.24	0.56	2.33	1.65	1.33	4.31	6.53	3.16	1.48	2.21	2.67	1.14	2.96	2.1	4.55	1.53	1.11	2.16	1.09	14.66	2.36	4.16	7.02	0.96	0.95	16.8	1.8	2.94	1.27	0.94	2.95	8	2.14	0.57	3.51	0.54	0.77	1.71	1.56	1.78	1.5	3.66	2.91	6.73	2.12	3.15	2.79	5.99	3.16	2.35	0.57	2.26	1.49	2.94	4.89	1.16	0.25	2.49	2.7	16.36	2.22	0.4	1.38	14.71	0.71	1.56	2.47	1.75	0.83	21.94	3.41	5.26	0.88	1.34	10.21	1.47	5.1	1.8	1.03	4.48	0.71	1	0.43	17.94	0.5	3.68	1.12	8.16	0.95	1.63	3.79	1.62	1.78	1.9	0.97	5.03	3.41	1.94	3.28	9.92	2.08	2.28	1.89	2.78	7.85	3.63	9.66	0.83	1.45	1.03	3.15	0.23	0.29	0.9	3.07	0.66	0.18	3.07	1.67	3.22	3.28	0.37	1.52	4.82	0.85	1.08	0.68	16.26	2.63	7.24	2.72	0.63	0.19	0.2	1.47	0.51	1.37	9	5.88	2.65	0.47	0.77	0.79	0.22	1.37	1.88	1.16	0.43	3.22	1.32	3.42	3.27	7.5	0.66	1.75	2.46	0.77	5.12	1.83	0.41	0.51	1.79	1.11	3.8	0.7	2.44
ADAM9	NM_003816,NR_027638,NR_027639,NR_027878	53.27	51.57	20.96	79.8	33.92	17.39	126.14	10.19	17.64	188.45	125.75	12.11	259.41	53.11	67.38	53.88	17.18	75.05	25.01	44.74	431.03	72.02	39.17	131.54	44.6	32.93	23.13	25.82	36.74	93.23	176.93	69.08	13.28	58.68	53.41	20.78	44.02	33.25	75.56	22.15	41.71	87.72	14.07	30.69	41.97	19.82	136.09	154.15	56.57	66.78	110.87	81.31	53.55	48.7	134.05	185.1	161.8	25.38	200.08	129.69	120.66	18.27	56.52	27.12	45.72	36.57	124.67	101.05	34.64	24.41	66.68	186.42	56.43	43.1	46.39	61.79	59.93	80.03	71.02	86.6	90.04	64.11	393.5	127.11	39.84	163.76	26.05	34.09	24.19	106.15	217.55	86.75	30.66	62.55	42.7	111.39	75.91	76.51	210.51	31.81	239.08	27.29	63.32	44.32	49.34	29.24	30.19	70.37	114.49	474.82	109.68	18.85	87.32	8.51	65.43	20.78	14.57	48.6	28.83	36.81	20.43	17.28	44.52	82.31	44.57	27.79	18.14	21.1	119.5	12.98	11.54	34.36	22.19	69.51	259.59	32.76	33	107.26	30.99	65.16	28.3	104.79	42.8	27.49	24.84	81.51	152.79	61.77	117.57	21.15	22.59	87.27	16.66	47.82	7.26	40.69	60.55	179.24	34.15	43.63	247.19	12.3	80.29	104.38	75.11	112.33	73.46	38.09	59.43	42.39	5.37	73.95	91.6	17.62	56.27	27.72	15.27	9.68	242.79	125.46	33.67	37.79	108.2	192.19	40.52	164.57	19.06	98.23	114.79	83.4	121.41	27.14	134.87	107.34	34.06	126.34	83.42	48.55	46.21	78.65	16.64	61.27	68.47	447.27	38.4	23.6	16.27	50.62	45.82	123.43	72.38	71.67	68.35	37.57	123.22	17.09	63.75	26.72	75	43.34
ADAMTS1	NM_006988	14.95	2.64	21.25	12.4	2.3	6.01	12.5	3.98	12.04	30.16	17.34	5.11	77.18	35.52	48.83	1.63	8.67	9.73	10.79	10.48	8.53	16.12	10.9	21.28	2.77	0.7	31.43	56.94	7.05	45.55	29.25	62.32	2.56	2.16	9.16	4.35	35.85	184.93	3.82	7.68	7.5	16.8	2.73	6.89	22.44	6.36	2.38	13.7	5.28	51.54	7.27	52.8	10.73	13.25	37.96	9.07	5.6	2.75	12.68	8.53	16.95	12.22	9.33	1.64	4.29	1.96	51.61	29.18	53.22	38.78	41.58	47.5	1.23	3.1	47.08	14.12	86.88	14.18	18.96	16.76	26.47	10.44	22.04	24.72	0.7	85.88	2.03	45.02	70.78	13.13	13.27	11.3	11.27	25.86	3.38	31.52	16.93	32.57	39.82	5.07	17.77	6.83	18.8	8.27	10.41	7.27	19.71	8.92	12.13	16.3	18.86	39.36	62.34	0.21	9.41	0.85	9.32	24.88	7.41	68.4	12.3	8.47	13.05	9.77	2.56	2.6	12.43	5.4	82.76	35	3.69	10.49	13.46	1.64	10.8	7.61	7.35	46.04	3.07	11.28	112.85	30.85	2.59	4.34	2.59	35.76	23.99	54.86	17.01	2.85	20.66	7.98	11.77	30.12	2.74	27.1	11.98	11.77	20.36	26.2	20.98	8.34	10.81	17.2	43.2	11.24	21.97	65.69	3.92	9.11	1.11	12.37	54.46	10.11	46.78	187.17	43.72	6.06	12.95	55.4	3.29	13.91	11.23	38.99	105.73	10.16	2.96	17.11	29.54	7.6	52.63	9.94	36.04	8.92	69.19	80.24	16.93	7.84	13.14	7.59	18.33	3.11	25.72	4.36	42.25	42.34	30.62	1.8	30.23	50.26	2.35	126.46	2.76	0.35	7.04	13.39	9.01	0.6	5.04	15.34
ADAMTS14	NM_080722,NM_139155	7	2.07	0.87	1.81	1.24	12.89	2	2.43	1.08	0.51	41.5	0.82	1.89	0.73	56.41	0.55	1.31	2.21	1.77	1.55	4.89	0.8	0.34	2.16	0.42	0.38	0.39	1.71	1.33	2.69	3.61	3.24	8.67	0.71	1.84	0.51	0.27	1.11	0.48	5.69	0.4	3.8	0.65	1.05	1.71	0.11	3.98	9.9	1.76	9.38	1.5	7.3	0.15	4.47	4.04	1.6	9.39	2.97	9.42	3.1	4.55	0.17	1.39	1.06	1.81	1.21	1.83	2.29	0.58	1.19	0.8	1.29	0.12	0.37	5.77	0.72	0.76	1.44	0.18	2.19	5.65	0.46	7.18	4.56	0.69	1.23	2.18	9.3	0.65	0.09	0.09	15.54	2.33	1.41	4.44	1.92	6.21	1.11	9.64	0.21	1.92	5.9	4.06	3.72	0.22	1.61	3.95	3.49	7.36	2.91	0.81	0.73	3.62	0.34	1.38	0.47	0.53	1.33	0.5	4.43	3.24	10.42	3.52	2.03	0.68	0.36	5.36	0.56	16.52	0.63	0.59	1.23	0.37	0.52	1.88	2.52	0.28	4.1	0.84	2.79	51.26	1.69	0.62	0.49	1.76	3.87	20.07	1.23	2.28	2.55	0.79	2.73	1.45	4.51	1.6	14.4	3.05	6.27	2.75	0.4	32.39	0.78	1.29	1.4	0.58	2.23	1.49	0.24	1.21	0.61	0.02	2.46	2.26	1.03	4.39	1.53	0.75	0.26	1.14	1.42	0.96	1.67	2.38	4.88	0.54	4.09	1.35	0.85	7.57	0.31	2.88	1.07	11.75	2.92	2.5	1.74	0.24	1.36	2.67	2.11	0.93	0.9	8.02	9.73	4	1.52	3.31	0.04	1.57	1.69	0.63	1.37	4.05	0.09	2.99	0.26	0.47	0.7	0.68	0.19
