gene_id	length	RA-002-LMU-30226	RA-006-STA-28528	RA-008-IBI-30437	RA-010-AWE-30588	RA-021-HRE-34122	RA-022-DWI-31482	RA-024-AJA-31582	RA-025-IDO-164590	RA-028-GKH-167757	RA-030-MDU-168602	RA-031-SBA-169491	RA-032-ZDI-169765	RA-033-MMU-172592	RA-034-DHS-174216	RA-037-CDI-175440	RA-038-AVA-175631	RA-043-FMA-178339	RA-044-FWC-235152	RA-048-LAJ-237803	RA-052-SSM-239954	RA-056-LHA-241252	WE-002-CGR-172776	WE-008-DSI-236863	WE-011-DSU-244973	P000101	P000102	P000106	P000202	P000208	P000302	P000305-251503	P000307	P000404	P000504	P000604	P000606	P000608	P000703	P000706	P000801	P000804	P000902	P000903	P000904	P001002	P001007	P001102	P001202	P001301	P001302	P001304	P001307	P001401	P001502	P001602	P001701	P001802	P002306	P003101	P001404	P002506	P001003	P000605	P002302	P003601	P001904-268846	P004001-268467	P004001-268560	P004201-269359	P004401-270614	P001105-271530	P002404-271735	P002802-270846	P004301-270831	P001205-274088	P002904-273913	P003202-273784	P003302-274819	P003502-275267	P003106-274807	P003204-276307	P003404-276310	P003504-276910	P001405-277029	P003902-277744	P005401-277060	P003704-277451	P004402-279901	P001505-277736	P003904-279449	P004801-277602	P004104-280143	P001705-280141	P004204-280660	P004006-282222	P004206-282906	P001805-283771	P005801-282911	P004604-284987	P004802-284986	P005901-283677	P001605-285608	P004406-286146	P004704-285606	P006201-287071	P004606-287208	P000908-288144	P006501-288992	P002607-287123	P005302-289217	P005402-289261	P005502-290329	P005102-290188	P006701-291577	P005602-290690	P002205-292088	P005802-292101	P002305-293498	P002405-293496	P003007-293109	P005306-293108	P005702-294414	P005206-294365	P005406-294364	P002505-294463	P002605-295086	P005504-294490	P006102-296502	P007401-297206	P002805-297243	P007501-297323	P006004-299119	P006302-298472	P003607-299930	P006104-300166	P007601-299312	P002905-300886	P003005-301334	P007801-302111	P006304-303189	P007004-307759	P006904-307596	P002103-307720	P008401-309723	P007302-310096	P007204-310190	P002403-311178	P008501-310672	P002503-312569	P007604-313961	P003305-314038	P007702-314952	P002603-315747	P006306-315860	P007904-315725	P008104-316065	P003405-314812	P009501-318828	P008404-319259	P003605-320506	P008402-319950	P003007-319189	P008704-322509	P002008-324543	P003805-323909	P005207-325372	P008802-324958	P002108-324549	P008902-326246	P009901-326428	P010801-327086	P009402-327673	P010901-327451	P011001-328135	P011101-328978	P003403-329580	P009404-330118	P011301-329701	P011601-330627	P007204-331593	P012101-331288	P012301-331392	P012501-331969	P006101-333672	P002508-334809	P006307-333730	P013001-334940	P013201-335054	P007606-334286	P003607-334218	P010304-337314	P010502-338482	P010602-338650	P009401-338576	P010604-339036	P010702-339760	P011004-339996	P010902-340880	P003703-341070	P008606-341028	P003208-342093	P008806-342154	P011102-341752	P014701-342615	P003308-342968	P014401-341709	P011502-343972	P011602-344079	P004705-345028	P008901-343035	P011702-344883	P009306-344558	P015701-347055	P004905-347989	P016101-348449	P007507-347991	P012102-349178	P015901-347508	P012004-350716	P012202-349335
A2M	4653	24539.97	5555	6780	26827	10087.99	11335.98	152070.87	1868.99	24719.43	53119.93	164345.85	13091.43	19384.62	43828.99	67438.92	19501.93	5232	18311	30399.77	34352.98	58371	72530.14	8091	34191.99	76386.98	40613.95	33563.87	57643.87	54696.14	54463.12	103198.88	127296.29	9301.9	22004.79	53078.98	46354.37	13999.04	63211.75	58933.75	18378.08	41973.33	80832.9	14230.8	33321.95	58502.71	11803	201718.91	36046.81	64591.71	140921.04	112386.58	65260.92	101472.76	148445.52	37301.91	45778.92	16417.47	39066.8	105365.83	69712.34	198621.91	20193.78	40926.65	6512	31250	19741.89	53661.64	38031.37	51994.7	41794.95	26379.94	58863.57	38893.22	121645.49	231010.69	96222.21	23714.27	79210.91	31877.52	94316.21	91361	42218.1	176179.85	107873.58	1840.94	64740.71	33827.11	178719.82	61872.19	23777.81	78469.55	140494.95	131196.67	150234.48	131422.79	73579.96	74647.85	29763.28	126898.68	5438.4	151182.24	20801.54	101581.59	125870.81	63150.35	47205.44	37888.97	33531.22	238964.1	434339.7	68590.92	86296.43	202344.54	530.97	49281.85	27575.73	36669.45	48608.8	53608.85	242881.81	19456.96	32929.4	62878.71	164942.02	13073.65	9712.84	44774.8	39337.65	121085.5	18659.98	8225.92	19693.46	51840.72	15187.31	67743.31	48993.56	32921.3	132813.63	52727.69	45235.89	72992.48	25459.95	15708.39	8081	30461.51	39881.93	70114.82	98561.73	48217.54	53826.65	15345.64	42800.91	20634.95	59487.96	11296.96	23511.28	90067.31	47170.73	22471.94	16591.76	68690.87	11897.89	107800.44	26493.96	15214.56	113202.88	50823.85	18826.8	37888.72	29614.96	3838	87292.29	152556.96	11326.16	151686.68	245308.79	34547.68	5160.22	122729.56	31568.77	43564.23	86852.53	120481.27	37397.93	96454.63	299706.66	35901.93	79373.96	788914.77	17071.86	233821.58	7916	20834	21992.95	10904.94	47075.69	28288.82	61292.96	26390.7	74784.87	10601.63	42310.65	166136.4	282545.29	38832.35	25612.39	25029.97	50811.87	143227.53	55830.77	31450.63	32685.9	35202.98	14461.76	160790.3	48723.91	38123.85	9293.55	60667.94	41414.14
ACAN	8725.75	1157	119	10	1443	29	15	16942	48	1128	131	147	949	3573	299	136	6381	48	5706	12547	3478	685	812	16	3054	80576	35508	42	1095	1442	3318	2219	5502	7	57	0	8321	226	1033	276	399	6919	14373	118	303	4083	55	14613	19	3008	971	39	59501	5849	915	582	115	25	22230	273	81	2884	6	1167	414	310	10142	3180	1089	157	6435	137	1096	170	871	20419	245	83	8591	20	107	15820	434	13254	924	143	4017	1007	2989	253	33	102	2399	2308	411	7758	24376	36178	197	482	39	6	17	15197	4865	160	370	521	2016	1705	339	518	208	12516	10	326	717	73	766	262	13748	10163	300	189	389	262	289	458	15989	898	1049	188	1013	157	104	5322	8300	166	1933	1174	3520	1763	8926	62	58	45	27502	7	4909	220	1667	580	5588	121	292	101	145	6237	6	576	452	251	182	8899	24	49	3091	542	8770	42887	722	1	4607	2511	2959	84	886	66	1110	1067	27568	571	1140	8245	327	2441	1	2323	2953	21341	21	190	255	24988	19803	327	191	439	3987	18275	30785	27	8510	2875	576	157	138	956	286	1425	934	0	592	7664	48	1764	14	2660	204	774	3708
ACTN1	3722.52	8890	6035	1253	3997	1978	5762	20073	3644	2454	5959	13384	623	6523	8723	8548	1652	1120	1463	1803	4657	10440	7266	899	2976	4189	1792	34776	14111	3510	6579	10082	19318	595	2011	7584	5665	1981	7307	7632	5055	5047.79	12804	8539	15001	3028	3310	10624	19101	7106	13778	32646	34422	9767	23430	4918	6394	8046	1987	18398	11490	11514	3901	3588	6954	1210	707	9953	7395	8078	4743	1632.1	13293	15714	10896	21596.83	15029	8485	7295	9668	10141	8267	11646	15547.31	6187	2738	18737	1006	17660	1829	3396	3645	5499	4485	12573	1713	8420	16626	3429	10532	3129.34	35764	3085	6804	10311	13221.62	1527	6643	6280.23	18816	13186	4553	6218	17651.57	2877	11045	1266	2379	59158	6410	21950	3565	7635	3480	16132	7850	5650	4705	883	16299.48	3200	4284	7384	1156	7304	4908.17	747	4813	14614	1248	4059	12005	6238.25	8985	4892	4918	9337	5830	4361	5339	15445	8854	8580.59	3554	17995	1751	13918	4717	34290	29039	6059	8480	2494	8475	8541	4048	21132	3660	1793	3194	2239	2418	12785	10156	3270.32	6586	9939	8059	4144	7443	11424	5728	27292.02	6072	9654	9835	29577	9085	10039	11192	3937	7462	4755	11576	7562	13924	2686	3805	3698	4875	6355	5378	1938	27198	43440.9	6603	2745	10483	1365	34719	5331	12796	20552	3549	1036	30687	2218	1722	6241	5902	4083
ADAM10	5034	5354	507	1223	2100	3878	2337	6890	780	3015	4073	8911	675	5751	19534	2654	2250	2011	2574	2382	1520	4616	1527	2266	2863	5508	5255	9894	5897	6612	9361	5529	6287	8098	3925	3642	5873	21664	4490	9294	3725	4475	6362	11119	12824	6851	15231	9399	7737	10277	6334	17472	4274	17691	3121	11299	11399	7699	5609	18364	3700	7686	9188	5002	6480	3138	3800	7509	11789	9392	8541	2445	9849	9188	4701	5923	7934	4649	6536	11539	5676	6468	7060	16310	12673	10747	7627	3705	9579	2280	8310	5505	9110	6999	10208	7094	5414	4764	6555	11241	10640	7705	6617	11101	6236	5213	3205	4681	3960	4798	16950	7419	6632	8607	2154	7015	3036	3590	2192	6267	3758	3531	5555	7167	3682	3521	2752	3754	3809	4485	2526	5916	2600	2765	7222	11958	5707	5198	9135	6366	2880	3782	7971	7108	11430	4604	4832	7223	4352	4756	3086	7987	8828	4705	2902	4136	2764	4632	10312	2174	4740	5949	3388	8940	9967	4198	7467	7701	3882	6126	2312	2210	8657	7624	484	5878	12693	3587	789	14190	9246	10567	2965	10460	7377	6330	11599	8968	8402	15045	7778	7187	16057	5315	4914	6689	9335	7138	11413	8548	8021	7590	9529	12100	23535	7615	21573	6755	3072	8757	15810	11019	9367	17803	8440	10101	10396	5451	7900	7980	5735
ADAM15	2856.99	4937	1163	428	1849	2047	1606	1559	295	2767	3026	3986	366	1272	2973	1255	1927	382	1173	1613	1364	2470	1260	849	1366	4566	3256	12060	3191	1644	3838	1436	3466	5408	4318	2105	3915	1994	6341	3335	1934	3716	2729	497	5719	5333	2622	4459	4009	7495	5033	1704	8398	8654	1638	2931	2357	1220	7228	3860	3946	4414	2742	2922	5738	1887	2019	2392	1769	3352	4119	15927	7533	5927	5011	6631	6585	2304	4100	4631	4776	2843	4785	4063	3573	1605	2662	2090	5000	1773	4479	2501	4811	3389	5794	2752	3999	3901	1367	2845	2487	4296	991	2161	5269	4492	3021	13891	6488	7054	4103	2841	2978	6493	2064	4962	2300	4641	5101	2186	21509	5104	2284	4623	8493	6967	5535	2142	3929	4760	2172	1648	3815	1663	5818	3007	1581	3345	3406	4481	4047	2813	3946	16254	3762	5694	16258	2762	3795	2541	5512	5657	7049	3133	6421	2834	4317	3536	5425	6411	6052	3103	4513	3641	2781	3370	2614	1927	3943	2506	1099	1524	3266	4944	2349	3807	8884	5223	2554	3121	14828	3357	5204	2890	6098	7813	4035	7238	2466	3824	3932	5867	2251	2820	3452	2147	830	2329	3856	4717	3187	2144	3247	7708	3918	2973	5183	1078	697	5692	4994	5577	15828	4576	2930	3632	2353	2050	1458	2209	4104
ADAM17	3553	3361	782	882	1623	1983	1360	2269	494	2252	4472	2743	179	1492	4230	1244	1340	662	1075	922	747	3799	1147	677	1364	4507	1796	3932	2731	1816	3343	1761	2573	4591	1347	1558	2382	2834	1392	6203	1679	4048	3606	2064	2807	3702	7111	2999	3060	3109	2489	6670	1348	12183	1551	4123	2954	656	3757	9310	2023	3681	4386	1627	2881	318	2304	4726	7503	3066	4948	5404	6553	5212	2488	4422	2552	4914	4528	3659	5448	1519	3923	4657	3864	4222	1909	763	1783	903	5277	2296	2776	2227	4317	2530	3444	3988	2744	3358	6043	3992	3332	2798	2219	1934	1839	2708	7568	4452	7540	3285	3370	3642	1045	6707	635	1579	2828	1136	2114	3369	2370	3025	3306	2984	1929	1503	1024	2699	2115	2599	1307	962	4328	3675	2441	3050	3329	4851	3221	2168	4327	4008	6807	3563	5195	2050	2084	3532	2847	4278	5102	1173	2632	927	2016	1837	5162	3001	3752	3166	1729	2632	1651	5447	2504	3036	3726	3022	934	279	3886	2901	4585	2214	4303	5085	1518	9554	7187	4433	4427	3863	6306	2899	2212	4300	2371	4350	5736	3791	7464	2532	2421	1417	1557	2410	5589	4192	3559	2074	3835	3770	8553	2701	2884	3588	591	4618	3757	8795	3577	5713	2048	2583	3178	1822	3383	1732	2360
ADAM8	3206.93	52	138	64	44	43	275	287	148	226	65	629	61	82	186	321	42	21	20	77	482	75	543	26	83	427	124	243	70	63	181	1022	201	273	47	53	146	474	259	208	144	167	156	136	842	404	304	98	355	77	299	187	285	134	783	265	54	201	213	191	497	799	398	164	277	127	101	357	227	634	203	100	365	187	2228	358	533	1072	107	115	1891	212	425	117	90	290	698	169	81	206	60	78	224	219	323	202	349	328	621	243	385	336	538	278	333	95	252	136	381	525	105	19	251	269	2323	282	37	153	1863	70	208	281	242	97	2677	321	442	115	108	934	174	529	140	84	412	77	76	62	1892	65	410	100	810	152	249	431	181	121	145	73	578	380	173	295	948	267	219	148	396	778	419	919	114	191	87	262	19	22	76	195	29	26	411	147	318	327	61	153	517	97	126	88	3056	271	749	490	102	48	15	161	56	137	940	361	208	54	45	65	47	197	273	100	57	539	204	420	409	729	36	266	340	104	569	258	54	70	241	80	341	65	321
ADAM9	4090.3	6552	2167	856	3489	3644	1564	10134	546	2189	22444	12800	726	17672	6318	3906	3145	854	2915	1946	2466	28084	5266	1312	5537	7200	3944	4299	4330	4937	14513	17755	10604	3785	6037	6710	5018	6761	3444	15032	3464	6052	8608	3640	8692	6110	4592	14252	19737	8345	9214	20161	10323	21364	6626	20973	23834	17838	4184	36606	18853	18698	2906	7884	4490	2994	4283	19281	14323	6318	4189	7549	39838	12329	8266	8830	10003	11520	11387	10996	12348	13335	11693	47416	15465	5021	18003	2780	6147	1782	15468	28601	14603	5611	14366	7212	13738	10814	8996	30245	5120	36647	3129	7144	7883	11096	4168	3456	11617	15470	56306	11454	2386	10926	1523	10650	2552	2061	7842	3762	6174	2945	3006	6512	12623	5257	2983	3013	2154	13802	1931	1513	3360	2269	8306	36988	3119	6050	14511	5222	9208	3218	13478	8835	5364	3560	12086	13442	5944	11071	3062	3274	10044	1893	5764	1171	4905	5959	32063	4283	6384	29978	2112	13530	11758	8169	12597	6994	4109	4765	2439	953	12420	10139	2240	7162	5819	2026	1310	35550	19536	5519	9177	14517	25143	9301	34960	6251	9824	16388	11538	15413	3591	10531	11195	4875	10181	8672	13663	8546	14453	1853	10317	14434	87035	5950	3830	2011	3468	8780	22263	12798	10374	12609	6527	21290	2996	5801	3093	9364	7349
ADAMTS1	4651	2102	127	993	620	283	618	1149	244	1712	4113	2020	350	6020	4843	3234	109	493	433	960	661	637	1350	418	1027	511	96	6674	10908	1084	8109	3354	10930	835	254	1313	1200	6285	21878	867	1374	1243	1884	806	2229	3741	1685	285	2004	890	8125	1510	7668	4896	2057	6781	1335	705	517	2654	1417	3001	2220	1487	311	321	262	9113	4727	11081	7596	5371	11585	306	678	10234	2607	19051	2304	3350	2731	4476	2174	3032	3435	101	10783	247	9281	5953	2184	1992	2172	2360	6787	651	4439	2757	4374	6530	931	3108	894	2422	1679	2674	1183	2574	1681	1869	2207	2247	5691	8910	43	1749	119	1504	4582	1103	13098	2025	1683	2179	1711	345	318	2356	629	10917	5952	554	1174	1572	224	1758	827	1539	7119	591	1821	14663	4536	612	970	425	6056	2413	6036	1830	471	3422	1049	1530	4149	506	3731	1347	2404	2920	4383	2909	1637	2083	2219	5374	1441	2392	8098	359	599	225	2371	6889	1471	6811	44926	6636	940	2169	9870	617	3862	1724	5832	27744	2469	1113	1955	4825	1203	7642	1506	3220	1063	11328	7385	2013	2522	2781	1595	2334	598	6203	970	7486	7855	4325	141	6620	10371	476	20911	583	69	1391	2686	937	80	720	2972
ADAMTS14	5260.75	1121	113	46	103	174	1510	210	170	174	79	5504	64	168	113	4250	42	85	112	179	111	416	76	15	119	87	59	95	372	233	545	470	645	3214	95	300	161	53	149	124	1157	76	484	219	385	325	34	541	1647	337	1683	354	1206	77	788	819	267	1343	636	2242	585	917	35	253	227	154	184	368	422	137	264	117	358	33	93	1427	152	189	265	36	406	1085	109	1123	720	113	176	302	2178	62	17	16	3396	555	420	974	308	1149	169	1796	43	381	877	595	858	65	298	586	746	1289	447	109	120	588	78	292	75	97	278	84	964	607	2352	668	403	104	50	1154	74	2477	122	100	157	49	80	347	312	67	722	183	513	7570	283	166	124	328	744	2297	154	279	480	148	408	215	707	335	2253	389	1457	449	77	5112	173	283	206	82	325	185	33	126	46	5	536	325	170	727	419	130	46	218	288	205	528	415	830	160	1131	579	111	1407	55	476	185	1197	396	466	182	33	497	642	505	134	198	2201	2459	807	321	533	4	390	397	145	257	973	21	673	60	56	105	111	41
