Symbol	Name
A2M	alpha-2-macroglobulin
ACAN	aggrecan
ACTN1	"actinin, alpha 1"
ADAM10	ADAM metallopeptidase domain 10
ADAM15	ADAM metallopeptidase domain 15
ADAM17	ADAM metallopeptidase domain 17
ADAM8	ADAM metallopeptidase domain 8
ADAM9	ADAM metallopeptidase domain 9
ADAMTS1	"ADAM metallopeptidase with thrombospondin type 1 motif, 1"
ADAMTS14	"ADAM metallopeptidase with thrombospondin type 1 motif, 14"
ADAMTS16	"ADAM metallopeptidase with thrombospondin type 1 motif, 16"
ADAMTS18	"ADAM metallopeptidase with thrombospondin type 1 motif, 18"
ADAMTS2	"ADAM metallopeptidase with thrombospondin type 1 motif, 2"
ADAMTS3	"ADAM metallopeptidase with thrombospondin type 1 motif, 3"
ADAMTS4	"ADAM metallopeptidase with thrombospondin type 1 motif, 4"
ADAMTS5	"ADAM metallopeptidase with thrombospondin type 1 motif, 5"
ADAMTS8	"ADAM metallopeptidase with thrombospondin type 1 motif, 8"
ADAMTS9	"ADAM metallopeptidase with thrombospondin type 1 motif, 9"
AGRN	agrin
ASPN	asporin
BCAN	brevican
BGN	biglycan
BMP1	bone morphogenetic protein 1
BMP10	bone morphogenetic protein 10
BMP2	bone morphogenetic protein 2
BMP4	bone morphogenetic protein 4
BMP7	bone morphogenetic protein 7
BSG	basigin (Ok blood group)
CAPN1	"calpain 1, (mu/I) large subunit"
CAPNS1	"calpain, small subunit 1"
CASK	calcium/calmodulin-dependent serine protein kinase (MAGUK family)
CASP3	"caspase 3, apoptosis-related cysteine peptidase"
CD151	CD151 molecule (Raph blood group)
CD44	CD44 molecule (Indian blood group)
CD47	CD47 molecule
CDH1	"cadherin 1, type 1, E-cadherin (epithelial)"
CEACAM1	carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein)
CEACAM6	carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen)
CEACAM8	carcinoembryonic antigen-related cell adhesion molecule 8
CMA1	"chymase 1, mast cell"
COL10A1	"collagen, type X, alpha 1"
COL11A1	"collagen, type XI, alpha 1"
COL11A2	"collagen, type XI, alpha 2"
COL12A1	"collagen, type XII, alpha 1"
COL13A1	"collagen, type XIII, alpha 1"
COL14A1	"collagen, type XIV, alpha 1"
COL15A1	"collagen, type XV, alpha 1"
COL16A1	"collagen, type XVI, alpha 1"
COL17A1	"collagen, type XVII, alpha 1"
COL18A1	"collagen, type XVIII, alpha 1"
COL19A1	"collagen, type XIX, alpha 1"
COL1A1	"collagen, type I, alpha 1"
COL1A2	"collagen, type I, alpha 2"
COL20A1	"collagen, type XX, alpha 1"
COL21A1	"collagen, type XXI, alpha 1"
COL22A1	"collagen, type XXII, alpha 1"
COL23A1	"collagen, type XXIII, alpha 1"
COL24A1	"collagen, type XXIV, alpha 1"
COL25A1	"collagen, type XXV, alpha 1"
COL26A1	"collagen, type XXVI, alpha 1"
COL27A1	"collagen, type XXVII, alpha 1"
COL28A1	"collagen, type XXVIII, alpha 1"
COL2A1	"collagen, type II, alpha 1"
COL3A1	"collagen, type III, alpha 1"
COL4A1	"collagen, type IV, alpha 1"
COL4A2	"collagen, type IV, alpha 2"
COL4A3	"collagen, type IV, alpha 3 (Goodpasture antigen)"
COL4A4	"collagen, type IV, alpha 4"
COL4A5	"collagen, type IV, alpha 5"
COL4A6	"collagen, type IV, alpha 6"
COL5A1	"collagen, type V, alpha 1"
COL5A2	"collagen, type V, alpha 2"
COL5A3	"collagen, type V, alpha 3"
COL6A1	"collagen, type VI, alpha 1"
COL6A2	"collagen, type VI, alpha 2"
COL6A3	"collagen, type VI, alpha 3"
COL6A5	"collagen, type VI, alpha 5"
COL6A6	"collagen, type VI, alpha 6"
COL7A1	"collagen, type VII, alpha 1"
COL8A1	"collagen, type VIII, alpha 1"
COL8A2	"collagen, type VIII, alpha 2"
COL9A1	"collagen, type IX, alpha 1"
COL9A2	"collagen, type IX, alpha 2"
COL9A3	"collagen, type IX, alpha 3"
COLGALT1	collagen beta(1-O)galactosyltransferase 1
COLGALT2	collagen beta(1-O)galactosyltransferase 2
COMP	cartilage oligomeric matrix protein
CRTAP	cartilage associated protein
CTRB1	chymotrypsinogen B1
CTRB2	chymotrypsinogen B2
CTSB	cathepsin B
CTSD	cathepsin D
CTSG	cathepsin G
CTSK	cathepsin K
CTSL	cathepsin L
CTSS	cathepsin S
CTSV	cathepsin V
DAG1	dystroglycan 1 (dystrophin-associated glycoprotein 1)
DCN	decorin
DDR1	
DDR2	discoidin domain receptor tyrosine kinase 2
DMD	dystrophin
DMP1	dentin matrix acidic phosphoprotein 1
DSPP	dentin sialophosphoprotein
DST	dystonin
EFEMP1	EGF containing fibulin-like extracellular matrix protein 1
EFEMP2	EGF containing fibulin-like extracellular matrix protein 2
ELANE	"elastase, neutrophil expressed"
ELN	elastin
F11R	F11 receptor
FBLN1	fibulin 1
FBLN2	fibulin 2
FBLN5	fibulin 5
FBN1	fibrillin 1
FBN2	fibrillin 2
FBN3	fibrillin 3
FGA	fibrinogen alpha chain
FGB	fibrinogen beta chain
FGF2	fibroblast growth factor 2 (basic)
FGG	fibrinogen gamma chain
FMOD	fibromodulin
FN1	fibronectin 1
FURIN	furin (paired basic amino acid cleaving enzyme)
GDF5	growth differentiation factor 5
HAPLN1	hyaluronan and proteoglycan link protein 1
HSPG2	heparan sulfate proteoglycan 2
IBSP	integrin-binding sialoprotein
ICAM1	intercellular adhesion molecule 1
ICAM2	intercellular adhesion molecule 2
ICAM3	intercellular adhesion molecule 3
ICAM4	intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)
ITGA1	"integrin, alpha 1"
ITGA10	"integrin, alpha 10"
ITGA11	"integrin, alpha 11"
ITGA2	"integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)"
ITGA2B	"integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41)"
ITGA3	"integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)"
ITGA4	"integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)"
ITGA5	"integrin, alpha 5 (fibronectin receptor, alpha polypeptide)"
ITGA6	"integrin, alpha 6"
ITGA7	"integrin, alpha 7"
ITGA8	"integrin, alpha 8"
ITGA9	"integrin, alpha 9"
ITGAD	"integrin, alpha D"
ITGAE	"integrin, alpha E (antigen CD103, human mucosal lymphocyte antigen 1; alpha polypeptide)"
ITGAL	"integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)"
ITGAM	"integrin, alpha M (complement component 3 receptor 3 subunit)"
ITGAV	"integrin, alpha V"
ITGAX	"integrin, alpha X (complement component 3 receptor 4 subunit)"
ITGB1	"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)"
ITGB2	"integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)"
ITGB3	"integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)"
ITGB4	"integrin, beta 4"
ITGB5	"integrin, beta 5"
ITGB6	"integrin, beta 6"
ITGB7	"integrin, beta 7"
ITGB8	"integrin, beta 8"
JAM2	junctional adhesion molecule 2
JAM3	junctional adhesion molecule 3
KDR	kinase insert domain receptor
KLK2	kallikrein-related peptidase 2
KLK7	kallikrein-related peptidase 7
KLKB1	"kallikrein B, plasma (Fletcher factor) 1"
LAMA1	"laminin, alpha 1"
LAMA2	"laminin, alpha 2"
LAMA3	"laminin, alpha 3"
LAMA4	"laminin, alpha 4"
LAMA5	"laminin, alpha 5"
LAMB1	"laminin, beta 1"
LAMB2	"laminin, beta 2 (laminin S)"
LAMB3	"laminin, beta 3"
LAMC1	"laminin, gamma 1 (formerly LAMB2)"
LAMC2	"laminin, gamma 2"
LAMC3	"laminin, gamma 3"
LOX	lysyl oxidase
LOXL1	lysyl oxidase-like 1
LOXL2	lysyl oxidase-like 2
LOXL3	lysyl oxidase-like 3
LOXL4	lysyl oxidase-like 4
LRP4	low density lipoprotein receptor-related protein 4
LTBP1	latent transforming growth factor beta binding protein 1
LTBP2	latent transforming growth factor beta binding protein 2
LTBP3	latent transforming growth factor beta binding protein 3
LTBP4	latent transforming growth factor beta binding protein 4
LUM	lumican
MADCAM1	mucosal vascular addressin cell adhesion molecule 1
MATN1	"matrilin 1, cartilage matrix protein"
MATN3	matrilin 3
MATN4	matrilin 4
MFAP1	microfibrillar-associated protein 1
MFAP2	microfibrillar-associated protein 2
MFAP3	microfibrillar-associated protein 3
MFAP4	microfibrillar-associated protein 4
MFAP5	microfibrillar associated protein 5
MMP1	matrix metallopeptidase 1
